Δn,T,SRH,Label
40370172585965.5,300,0.0009598505432703024,0
44306214575838.87,300,0.0009615680619929783,0
48626015800653.53,300,0.0009634500141060959,0
53366992312063.016,300,0.0009655118227188817,0
58570208180566.734,300,0.0009677702930567885,0
64280731172843.195,300,0.0009702437232636922,0
70548023107186.31,300,0.0009729520213962183,0
77426368268112.78,300,0.0009759168283598075,0
84975343590864.38,300,0.000979161646364038,0
93260334688321.8,300,0.0009827119722636464,0
102353102189902.69,300,0.000986595434895572,0
112332403297802.66,300,0.000990841935214687,0
123284673944206.84,300,0.0009954837876648634,0
135304777457980.75,300,0.001000555860790743,0
148496826225446.34,300,0.0010060957145923868,0
162975083462064.7,300,0.0010121437315438134,0
178864952905743.5,300,0.0010187432375325794,0
196304065004026.84,300,0.001025940608228305,0
215443469003188.66,300,0.0010337853555537526,0
236448941264540.72,300,0.0010423301880174533,0
259502421139974.25,300,0.0010516310376825315,0
284803586843580.5,300,0.0010617470455105032,0
312571584968823.5,300,0.0010727404957595638,0
343046928631492.6,300,0.0010846766890741653,0
376493580679247.1,300,0.0010976237429310967,0
413201240011533.44,300,0.001111652307277852,0
453487850812859.1,300,0.0011268351826014351,0
497702356433211.4,300,0.0011432468274092129,0
546227721768433.7,300,0.001160962742316615,0
599484250318942.1,300,0.0011800587187655689,0
657933224657568.2,300,0.0012006099420013344,0
722080901838545.6,300,0.0012226899404774478,0
792482898353918.6,300,0.0012463693774947958,0
869749002617783.4,300,0.0012717146857435305,0
954548456661832.8,300,0.001298786551592032,0
1047615752789666.2,300,0.001327638263470855,0
1149756995397735.8,300,0.001358313947447731,0
1261856883066018.5,300,0.001390846722870261,0
1384886371393874.5,300,0.0014252568214009817,0
1519911082952933.2,300,0.001461549723350671,0
1668100537200055.8,300,0.001499714375223768,0
1830738280295369.8,300,0.0015397215609651079,0
2009233002565046.0,300,0.001581522505570893,0
2205130739903041.0,300,0.0016250477924929193,0
2420128264794383.5,300,0.0016702066746804422,0
2656087782946684.0,300,0.00171688685240991,0
2915053062825181.5,300,0.0017649547788044157,0
3199267137797384.5,300,0.0018142565361335104,0
3511191734215142.0,300,0.0018646193031292835,0
3853528593710535.5,300,0.001915853406742275,0
4229242874389499.0,300,0.001967754922614924,0
4641588833612792.0,300,0.002020108759122804,0
5094138014816386.0,300,0.0020726921324230227,0
5590810182512223.0,300,0.0021252783168580073,0
6135907273413188.0,300,0.002177640538335059,0
6734150657750828.0,300,0.0022295558694705444,0
7390722033525775.0,300,0.002280808985177999,0
8111308307896889.0,300,0.0023311956460020013,0
8902150854450393.0,300,0.002380525793048194,0
9770099572992246.0,300,0.0024286261613167166,0
1.0722672220103254e+16,300,0.0024753423455775776,0
1.176811952435004e+16,300,0.0025205402823323514,0
1.2915496650148828e+16,300,0.0025641071405856563,0
1.4174741629268076e+16,300,0.002605951641041429,0
1.5556761439304658e+16,300,0.0026460038463070826,0
1.7073526474706888e+16,300,0.002684214482633159,0
1.8738174228603868e+16,300,0.002720553866103742,0
2.05651230834866e+16,300,0.002755010513020816,0
2.257019719633917e+16,300,0.0027875895159283804,0
2.477076355991714e+16,300,0.0028183107640528623,0
2.718588242732951e+16,300,0.002847207080834717,0
2.9836472402833344e+16,300,0.0028743223426982603,0
3.2745491628777316e+16,300,0.0028997096332231275,0
3.5938136638046404e+16,300,0.0029234294763046407,0
3.944206059437648e+16,300,0.002945548181431843,0
4.3287612810830616e+16,300,0.0029661363244097914,0
4.750810162102813e+16,300,0.002985267378075909,0
5.214008287999674e+16,300,0.0030030165000242714,0
5.72236765935022e+16,300,0.003019459478143109,0
6.280291441834272e+16,300,0.0030346718298765504,0
6.892612104349681e+16,300,0.0030487280474564117,0
7.564633275546291e+16,300,0.0030617009787825577,0
8.30217568131977e+16,300,0.003073661332005358,0
9.111627561154869e+16,300,0.003084677291017497,0
1e+17,300,0.003094814228835769,0
10000000000000.0,325,0.0009107283973643194,0
10974987654930.545,325,0.0009111420023024184,0
12045035402587.836,325,0.0009115957516197173,0
13219411484660.287,325,0.0009120935223452073,0
14508287784959.373,325,0.0009126395619912874,0
15922827933410.94,325,0.0009132385231512886,0
17475284000076.83,325,0.000913895501163037,0
19179102616724.926,325,0.0009146160750760281,0
21049041445120.22,325,0.0009154063521708258,0
23101297000831.582,325,0.0009162730162891416,0
25353644939701.168,325,0.0009172233802410507,0
27825594022071.258,325,0.0009182654425613411,0
30538555088334.125,325,0.0009194079488891993,0
33516026509388.477,325,0.0009206604582433413,0
36783797718286.34,325,0.000922033414457022,0
40370172585965.5,325,0.000923538223022719,0
44306214575838.87,325,0.0009251873335728595,0
48626015800653.53,325,0.0009269943281887727,0
53366992312063.016,325,0.0009289740156826162,0
58570208180566.734,325,0.0009311425319335675,0
64280731172843.195,325,0.0009335174462768054,0
70548023107186.31,325,0.000936117873837995,0
77426368268112.78,325,0.000938964593572852,0
84975343590864.38,325,0.0009420801716061344,0
93260334688321.8,325,0.0009454890892617366,0
102353102189902.69,325,0.0009492178749296475,0
112332403297802.66,325,0.0009532952386201243,0
123284673944206.84,325,0.0009577522077039976,0
135304777457980.75,325,0.0009626222619239244,0
148496826225446.34,325,0.0009679414652782508,0
162975083462064.7,325,0.0009737485918211249,0
178864952905743.5,325,0.0009800852417850992,0
196304065004026.84,325,0.0009869959437130342,0
215443469003188.66,325,0.0009945282374850622,0
236448941264540.72,325,0.00100273273224819,0
259502421139974.25,325,0.0010116631323109613,0
284803586843580.5,325,0.0010213762230710103,0
312571584968823.5,325,0.0010319318080262401,0
343046928631492.6,325,0.001043392586919201,0
376493580679247.1,325,0.0010558239641313316,0
413201240011533.44,325,0.001069293775647354,0
453487850812859.1,325,0.001083871922336267,0
497702356433211.4,325,0.0010996298970490609,0
546227721768433.7,325,0.0011166401932379956,0
599484250318942.1,325,0.0011349755835983167,0
657933224657568.2,325,0.00115470825877321,0
722080901838545.6,325,0.0011759088186035838,0
792482898353918.6,325,0.0011986451118957363,0
869749002617783.4,325,0.0012229809253489902,0
954548456661832.8,325,0.0012489745282148995,0
1047615752789666.2,325,0.0012766770864644876,0
1149756995397735.8,325,0.0013061309686396823,0
1261856883066018.5,325,0.0013373679749561157,0
1384886371393874.5,325,0.0013704075312563698,0
1519911082952933.2,325,0.0014052548995724722,0
1668100537200055.8,325,0.0014418994666658628,0
1830738280295369.8,325,0.0014803131801467998,0
2009233002565046.0,325,0.0015204492077030161,0
2205130739903041.0,325,0.001562240897623355,0
2420128264794383.5,325,0.0016056011172805964,0
2656087782946684.0,325,0.0016504220398101473,0
2915053062825181.5,325,0.0016965754374607613,0
3199267137797384.5,325,0.0017439135229916278,0
3511191734215142.0,325,0.0017922703585457613,0
3853528593710535.5,325,0.0018414638256851884,0
4229242874389499.0,325,0.0018912981222884424,0
4641588833612792.0,325,0.0019415667237555085,0
5094138014816386.0,325,0.0019920557196462544,0
5590810182512223.0,325,0.0020425474147069446,0
6135907273413188.0,325,0.0020928240671778406,0
6734150657750828.0,325,0.0021426716287951623,0
7390722033525775.0,325,0.0021918833507954274,0
8111308307896889.0,325,0.002240263128509354,0
8902150854450393.0,325,0.002287628473021909,0
9770099572992246.0,325,0.002333813020417577,0
1.0722672220103254e+16,325,0.0023786685153726487,0
1.176811952435004e+16,325,0.002422066234090901,0
1.2915496650148828e+16,325,0.0024638978395959614,0
1.4174741629268076e+16,325,0.0025040756882141186,0
1.5556761439304658e+16,325,0.002542532628134567,0
1.7073526474706888e+16,325,0.0025792213481639448,0
1.8738174228603868e+16,325,0.0026141133466862066,0
2.05651230834866e+16,325,0.0026471975973948914,0
2.257019719633917e+16,325,0.002678478989999632,0
2.477076355991714e+16,325,0.002707976621545802,0
